# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520589391.9524477 15.156000137329102 15.196000099182129 anchor 1804
1520589392.4524877 15.147000312805176 15.187000274658203 anchor 1805
1520589392.9544861 15.142000198364258 15.182000160217285 anchor 1806
1520589393.454483 15.11400032043457 15.154000282287598 anchor 1807
1520589393.9564693 15.147000312805176 15.187000274658203 anchor 1808
1520589394.4565027 15.147000312805176 15.187000274658203 anchor 1809
1520589394.9584622 15.142000198364258 15.182000160217285 anchor 1810
1520589395.4584494 15.123000144958496 15.163000106811523 anchor 1811
1520589395.9604342 15.133000373840332 15.173000335693359 anchor 1812
1520589396.4604886 15.142000198364258 15.182000160217285 anchor 1813
1520589396.9624543 15.128000259399414 15.168000221252441 anchor 1814
1520589397.4624906 15.142000198364258 15.182000160217285 anchor 1815
1520589397.9644914 15.133000373840332 15.173000335693359 anchor 1816
1520589398.4644871 15.152000427246094 15.192000389099121 anchor 1817
1520589398.9663181 15.147000312805176 15.187000274658203 anchor 1818
1520589399.4664342 15.13700008392334 15.177000045776367 anchor 1819
1520589399.968308 15.142000198364258 15.182000160217285 anchor 1820
1520589400.4684589 15.147000312805176 15.187000274658203 anchor 1821
1520589400.9703436 15.147000312805176 15.187000274658203 anchor 1822
1520589401.4704461 15.16100025177002 15.201000213623047 anchor 1823
1520589401.9723547 15.133000373840332 15.173000335693359 anchor 1824
1520589402.472497 15.147000312805176 15.187000274658203 anchor 1825
1520589402.9743621 15.142000198364258 15.182000160217285 anchor 1826
1520589403.4744949 15.166000366210938 15.206000328063965 anchor 1827
1520589403.9763627 15.13700008392334 15.177000045776367 anchor 1828
1520589404.4765012 15.13700008392334 15.177000045776367 anchor 1829
1520589404.9783411 15.180000305175781 15.220000267028809 anchor 1830
1520589405.4784765 15.184000015258789 15.223999977111816 anchor 1831
1520589405.980336 15.175000190734863 15.215000152587891 anchor 1832
1520589406.4805033 15.180000305175781 15.220000267028809 anchor 1833
1520589406.982368 15.184000015258789 15.223999977111816 anchor 1834
1520589407.4824929 15.175000190734863 15.215000152587891 anchor 1835
1520589407.9844308 15.152000427246094 15.192000389099121 anchor 1836
1520589408.4844546 15.180000305175781 15.220000267028809 anchor 1837
1520589408.986372 15.16100025177002 15.201000213623047 anchor 1838
1520589409.486248 15.152000427246094 15.192000389099121 anchor 1839
1520589409.9884503 15.170000076293945 15.210000038146973 anchor 1840
1520589410.4883595 15.16100025177002 15.201000213623047 anchor 1841
1520589410.9903464 15.170000076293945 15.210000038146973 anchor 1842
1520589411.4903831 15.156000137329102 15.196000099182129 anchor 1843
1520589411.9924755 15.147000312805176 15.187000274658203 anchor 1844
1520589412.4924757 15.152000427246094 15.192000389099121 anchor 1845
1520589412.9943504 15.175000190734863 15.215000152587891 anchor 1846
1520589413.4944754 15.170000076293945 15.210000038146973 anchor 1847
1520589413.9962928 15.147000312805176 15.187000274658203 anchor 1848
1520589414.4964817 15.175000190734863 15.215000152587891 anchor 1849
1520589414.9984789 15.156000137329102 15.196000099182129 anchor 1850
1520589415.498383 15.152000427246094 15.192000389099121 anchor 1851
1520589416.0004656 15.147000312805176 15.187000274658203 anchor 1852
1520589416.5003247 15.156000137329102 15.196000099182129 anchor 1853
1520589417.0024631 15.16100025177002 15.201000213623047 anchor 1854
1520589417.5023396 15.16100025177002 15.201000213623047 anchor 1855
1520589418.004349 15.184000015258789 15.223999977111816 anchor 1856
